State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin%,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016,Final?
Alabama,1,R+15,Bradley Byrne,R,"88,365","152,308",157,36.70%,63.20%,0.10%,-26.60%,-29.20%,2.60%,78.80%,
5,,,,,,,,,,,,,,,
Alabama,2,R+16,Martha Roby,R,"86,580","138,581",419,38.40%,61.40%,0.20%,-23.10%,-31.70%,8.60%,78.40%,
6,,,,,,,,,,,,,,,
Alabama,3,R+16,Mike Rogers,R,"83,145","147,480",149,36.00%,63.90%,0.10%,-27.90%,-33.00%,5.10%,79.20%,
7,,,,,,,,,,,,,,,
Alabama,4,R+30,Robert Aderholt,R,"46,370","183,958",222,20.10%,79.80%,0.10%,-59.70%,-62.50%,2.80%,78.70%,
8,,,,,,,,,,,,,,,
Alabama,5,R+18,Mo Brooks,R,"100,778","158,373",221,38.90%,61.10%,0.10%,-22.20%,-32.90%,10.70%,82.40%,
9,,,,,,,,,,,,,,,
Alabama,6,R+26,Gary Palmer,R,"85,337","192,227",137,30.70%,69.20%,0.00%,-38.50%,-43.80%,5.30%,82.70%,
10,,,,,,,,,,,,,,,
Alabama,7,D+20,Terri Sewell,D,"184,694",0,"4,147",97.80%,0.00%,2.20%,97.80%,41.20%,N/A,64.10%,
11,,,,,,,,,,,,,,,
Alaska,AL,R+9,Don Young,R,"109,615","128,516",994,45.80%,53.70%,0.40%,-7.90%,-14.70%,6.80%,75.10%,
12,,,,,,,,,,,,,,,
Arizona,1,R+2,Tom O'Halleran,D,"124,228","107,446",0,53.60%,46.40%,0.00%,7.20%,-1.10%,8.30%,80.10%,
13,,,,,,,,,,,,,,,
Arizona,2,R+1,Ann Kirkpatrick,D,"136,851","117,267",0,53.90%,46.10%,0.00%,7.70%,4.80%,2.90%,79.00%,
14,,,,,,,,,,,,,,,
Arizona,3,D+13,Raul Grijalva,D,"92,120","55,423",0,62.40%,37.60%,0.00%,24.90%,29.50%,-4.60%,69.70%,
15,,,,,,,,,,,,,,,
Arizona,4,R+21,Paul Gosar,R,"76,776","174,367","2,729",30.20%,68.70%,1.10%,-38.40%,-39.40%,1.00%,83.50%,
16,,,,,,,,,,,,,,,
Arizona,5,R+15,Andy Biggs,R,"103,943","150,732",0,40.80%,59.20%,0.00%,-18.40%,-20.50%,2.10%,74.60%,
17,,,,,,,,,,,,,,,
Arizona,6,R+9,David Schweikert,R,"116,452","145,981",0,44.40%,55.60%,0.00%,-11.30%,-9.80%,-1.50%,76.30%,
18,,,,,,,,,,,,,,,
Arizona,7,D+23,Ruben Gallego,D,"90,468",0,"15,539",85.30%,0.00%,14.70%,85.30%,48.30%,N/A,63.40%,
19,,,,,,,,,,,,,,,
Arizona,8,R+13,Debbie Lesko,R,"112,037","141,492",0,44.20%,55.80%,0.00%,-11.60%,-20.80%,9.20%,76.20%,
20,,,,,,,,,,,,,,,
Arizona,9,D+4,Greg Stanton,D,"127,566","82,499",0,60.70%,39.30%,0.00%,21.50%,15.90%,5.60%,72.40%,
21,,,,,,,,,,,,,,,
Arkansas,1,R+17,Rick Crawford,R,"57,459","138,436","4,571",28.70%,69.10%,2.30%,-40.40%,-34.80%,-5.60%,76.90%,
22,,,,,,,,,,,,,,,
Arkansas,2,R+7,French Hill,R,"115,564","131,712","5,176",45.80%,52.20%,2.10%,-6.40%,-10.70%,4.30%,82.20%,
23,,,,,,,,,,,,,,,
Arkansas,3,R+19,Steve Womack,R,"74,278","148,088","5,842",32.50%,64.90%,2.60%,-32.30%,-31.40%,-0.90%,78.10%,
24,,,,,,,,,,,,,,,
Arkansas,4,R+17,Bruce Westerman,R,"63,271","135,300","3,904",31.20%,66.80%,1.90%,-35.60%,-32.80%,-2.80%,74.80%,
25,,,,,,,,,,,,,,,
California,1,R+11,Doug La Malfa,R,"90,995","118,830",0,43.40%,56.60%,0.00%,-13.30%,-19.40%,6.10%,65.90%,
26,,,,,,,,,,,,,,,
California,2,D+22,Jared Huffman,D,"139,455","48,171",0,74.30%,25.70%,0.00%,48.70%,45.20%,3.50%,53.80%,
27,,,,,,,,,,,,,,,
California,3,D+5,John Garamendi,D,"98,935","73,320",0,57.40%,42.60%,0.00%,14.90%,12.50%,2.40%,65.30%,
28,,,,,,,,,,,,,,,
California,4,R+10,Tom McClintock,R,"116,026","142,566",0,44.90%,55.10%,0.00%,-10.30%,-14.50%,4.20%,71.80%,
29,,,,,,,,,,,,,,,
California,5,D+21,Mike Thompson,D,"135,266",,"37,676",78.20%,0.00%,21.80%,78.20%,44.60%,N/A,56.40%,
30,,,,,,,,,,,,,,,
California,6,D+21,Doris Matsui,D,"99,646",0,0,100.00%,0.00%,0.00%,100.00%,44.00%,N/A,40.20%,
31,,,,,,,,,,,,,,,
California,7,D+3,Ami Bera,D,"77,165","65,691",0,54.00%,46.00%,0.00%,8.00%,11.20%,-3.20%,46.10%,
32,,,,,,,,,,,,,,,
California,8,R+9,Paul Cook,R,0,"122,021",0,0.00%,100.00%,0.00%,-100.00%,-15.10%,N/A,52.40%,
33,,,,,,,,,,,,,,,
California,9,D+8,Jerry McNerney,D,"62,228","51,235",0,54.80%,45.20%,0.00%,9.70%,18.20%,-8.50%,46.60%,
34,,,,,,,,,,,,,,,
California,10,EVEN,,,"89,763","86,401",0,51.00%,49.00%,0.00%,1.90%,3.00%,-1.10%,72.50%,
35,,,,,,,,,,,,,,,
California,11,D+21,Mark DeSaulnier,D,"141,772","52,007",0,73.20%,26.80%,0.00%,46.30%,47.60%,-1.30%,60.50%,
36,,,,,,,,,,,,,,,
California,12,D+37,Nancy Pelosi,D,"185,173","30,507",0,85.90%,14.10%,0.00%,71.70%,76.60%,-4.90%,59.40%,
37,,,,,,,,,,,,,,,
California,13,D+40,Barbara Lee,D,"127,983",0,"17,599",87.90%,0.00%,12.10%,87.90%,79.30%,N/A,42.90%,
38,,,,,,,,,,,,,,,
California,14,D+27,Jackie Speier,D,"89,836","27,342",0,76.70%,23.30%,0.00%,53.30%,58.60%,-5.30%,39.30%,
39,,,,,,,,,,,,,,,
California,15,D+20,Eric Swalwell,D,"89,606","38,057",0,70.20%,29.80%,0.00%,40.40%,44.90%,-4.50%,44.00%,
40,,,,,,,,,,,,,,,
California,16,D+9,Jim Costa,D,"49,634","40,640",0,55.00%,45.00%,0.00%,10.00%,21.30%,-11.30%,52.50%,
41,,,,,,,,,,,,,,,
California,17,D+25,Ro Khanna,D,"84,173","31,160",0,73.00%,27.00%,0.00%,46.00%,53.20%,-7.20%,46.20%,
42,,,,,,,,,,,,,,,
California,18,D+23,Anna Eshoo,D,"106,891","42,496",0,71.60%,28.40%,0.00%,43.10%,53.20%,-10.10%,44.60%,
43,,,,,,,,,,,,,,,
California,19,D+24,Zoe Lofgren,D,"88,685","36,120",0,71.10%,28.90%,0.00%,42.10%,51.40%,-9.30%,48.40%,
44,,,,,,,,,,,,,,,
California,20,D+23,Jimmy Panetta,D,"96,393",0,"25,628",79.00%,0.00%,21.00%,79.00%,46.80%,N/A,47.30%,
45,,,,,,,,,,,,,,,
California,21,D+5,David Valadao,R,"33,844","39,475",0,46.20%,53.80%,0.00%,-7.70%,15.40%,-23.10%,54.40%,
46,,,,,,,,,,,,,,,
California,22,R+8,Devin Nunes,R,"66,277","81,543",0,44.80%,55.20%,0.00%,-10.30%,-9.30%,-1.00%,60.60%,
47,,,,,,,,,,,,,,,
California,23,R+14,Kevin McCarthy,R,"45,640","90,105",0,33.60%,66.40%,0.00%,-32.80%,-21.90%,-10.90%,55.00%,
48,,,,,,,,,,,,,,,
California,24,D+7,Salud Carbajal,D,"111,237","85,237",0,56.60%,43.40%,0.00%,13.20%,19.90%,-6.70%,62.10%,
49,,,,,,,,,,,,,,,
California,25,EVEN,Katie Hill,D,"90,298","84,272",0,51.70%,48.30%,0.00%,3.50%,6.60%,-3.10%,63.60%,
50,,,,,,,,,,,,,,,
California,26,D+7,Julia Brownley,D,"106,146","70,958",0,59.90%,40.10%,0.00%,19.90%,21.40%,-1.50%,59.30%,
51,,,,,,,,,,,,,,,
California,27,D+16,Judy Chu,D,"143,687",0,0,100.00%,0.00%,0.00%,100.00%,37.60%,N/A,54.30%,
52,,,,,,,,,,,,,,,
California,28,D+23,Adam Schiff,D,"136,546","41,563",0,76.70%,23.30%,0.00%,53.30%,49.80%,3.50%,61.60%,
53,,,,,,,,,,,,,,,
California,29,D+29,Tony Cardenas,D,"83,447","21,929",0,79.20%,20.80%,0.00%,58.40%,60.90%,-2.50%,53.70%,
54,,,,,,,,,,,,,,,
California,30,D+18,Brad Sherman,D,"134,501","53,053",0,71.70%,28.30%,0.00%,43.40%,43.40%,0.00%,61.90%,
55,,,,,,,,,,,,,,,
